position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
1514,6541,2003,Zambia,gemstone - citrine,Iteshi Teshi; Mumbwa,nan,Mine,,,-15.75,27.0,,,artisanal,nan,nan,active,,kg / yr,,851
1515,6542,2003,Zambia,gemstone - emerald,Kitwe,nan,Mine,"12° 49' 00"" ","028° 12' 00""",-12.817,28.2,,,artisanal,nan,nan,active,,kg / yr,,851
1516,6543,2003,Zambia,gemstone - emerald,Ndola area,nan,Mine,,,-15.87,28.77,,,Kagem Minerals Ltd.  (Government 55%),nan,nan,active,600.0,kg / yr,,851
1517,6544,2003,Zambia,gemstone - garnet,Siavunga,nan,Mine,,,-15.87,28.77,,,artisanal,nan,nan,active,,kg / yr,,851
1518,6545,2003,Zambia,lime,Ndola,nan,Plant,,,-13.033,28.7,,,Ndola Lime Co. Ltd.,nan,nan,active,,t / yr,,851
1519,6546,2003,Zambia,sulfur,Bwana Mkubwa,nan,Plant,"12° 40' 00"" ","028° 00' 00""",-12.667,28.0,,,First Quantum Minerals Ltd.,nan,nan,active,,t / yr,,851
1520,6547,2003,Zambia,sulfur,Chambishi,nan,Plant,,,-12.667,28.0,,,Chambishi Metals plc,nan,nan,active,,t / yr,,851
1521,6548,2003,Zambia,sulfur,Nampundwe,nan,Mine,,,-15.0,29.33,,,"Konkola Copper Mines plc (Anglo American, 65%)",nan,nan,active,,t / yr,,851
1522,6549,2003,Zambia,sulfur,Nkana,nan,Plant,"14° 18' 00"" ","028° 43' 00""",-14.3,28.717,,,Mopani Copper Mines plc,nan,nan,active,,t / yr,,851
1523,6550,2003,Zambia,gemstone - tourmaline,"Kalunga Wbeba, Hofmeyer",nan,Mine,"14° 18' 00"" ","028° 43' 00""",-14.3,28.717,,,artisanal,nan,nan,active,,kg / yr,,851
1524,6551,2003,Zimbabwe,ammonium nitrate,Sable,nan,Plant,,,-19.55,29.8,,,Sable Chemical Industries Ltd.,nan,nan,active,,t / yr,,851
1525,6552,2003,Zimbabwe,asbestos,Gaths,nan,Mill,,,-20.017,30.508,,,African Associated Mines (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1526,6553,2003,Zimbabwe,asbestos,Gaths & King,nan,Mine,,,-20.017,30.508,,U,African Associated Mines (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1527,6554,2003,Zimbabwe,asbestos,Zvishavane,nan,Mill,,,-20.333,30.067,,,African Associated Mines (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1528,6555,2003,Zimbabwe,asbestos,"Zvishavane,Shabanie",nan,Mine,,,-20.333,30.067,,U,African Associated Mines (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1529,6556,2003,Zimbabwe,gold,Arcturus,nan,Mine,,,-17.783,31.317,,,Independence Gold Mining (Pvt.) Ltd.,nan,nan,active,,kg / yr,,851
1530,6557,2003,Zimbabwe,gold,Blanket,nan,Mine,,,-20.85,28.9,,U,Kinross Gold Corp.,nan,nan,closed,,kg / yr,,851
1533,6560,2003,Zimbabwe,gold,Dalny,nan,Mine,,,-18.075,29.85,,U,Falcon Gold Zimbabwe Ltd.,nan,nan,active,342.0,kg / yr,,851
1534,6561,2003,Zimbabwe,gold,"Eureka, Guruve",nan,Mine,,,-16.67,30.74,,,Mmakau Mining (Pty.) Ltd. (75%) and Shaft Sinkers (Pty.) Ltd.  (25%),nan,nan,closed,,kg / yr,,851
1535,6562,2003,Zimbabwe,gold,Freda-Rebecca,nan,Mine,,,-17.3,31.292,,U,Mwana Africa Holdings,nan,nan,active,,kg / yr,,851
1537,6564,2003,Zimbabwe,gold,Gweru,nan,Mine,,,-19.45,29.817,,,Falcon Gold Zimbabwe Ltd.,nan,nan,active,130.0,kg / yr,,851
1538,6565,2003,Zimbabwe,gold,How,nan,Mine,,,-20.308,28.775,,,Independence Gold Mining (Pvt.) Ltd.,nan,nan,active,,kg / yr,,851
1539,6566,2003,Zimbabwe,gold,Jena,nan,Mine,,,-17.833,25.633,,,Zimbabwe Mining Development Corp.,nan,nan,active,600.0,kg / yr,,851
1540,6567,2003,Zimbabwe,gold,Mazoe,nan,Mine,,,-17.517,30.967,,,Independence Gold Mining (Pvt.) Ltd.,nan,nan,active,,kg / yr,,851
1541,6568,2003,Zimbabwe,gold,Patchway,nan,Mine,,,-18.233,29.8,,U,Golden Valley Mine,nan,nan,closed,,t / yr,,851
1542,6569,2003,Zimbabwe,gold,Redwing,nan,Mine,,,-18.25,30.1,,,Independence Gold Mining (Pvt.) Ltd.,nan,nan,active,,kg / yr,,851
1543,6570,2003,Zimbabwe,gold,Renco,nan,Mine,,,-20.633,31.167,,U,RioZim Ltd.,nan,nan,active,,kg / yr,,851
1544,6571,2003,Zimbabwe,gold,Sabi,nan,Mine,,,-20.367,30.117,,U,Zimbabwe Mining Development Corp.,nan,nan,active,600.0,kg / yr,,851
1545,6572,2003,Zimbabwe,gold,Shamva,nan,Mine,,,-17.333,31.567,,,Independence Gold Mining (Pvt.) Ltd.,nan,nan,active,,kg / yr,,851
1546,6573,2003,Zimbabwe,gold,Shurugwi,nan,Mine,,,-19.667,30.0,,,Falcon Gold Zimbabwe Ltd.,nan,nan,active,130.0,kg / yr,,851
1547,6574,2003,Zimbabwe,cement,Bulawayo,nan,Plant,,,-20.15,28.583,,,Portland Holdings Ltd. (Pretoria Portland Cement Co. Ltd.),nan,nan,active,,t / yr,,851
1548,6575,2003,Zimbabwe,cement,Gwanda,nan,Plant,,,-20.933,29.0,,,Portland Holdings Ltd. (Pretoria Portland Cement Co. Ltd.),nan,nan,active,,t / yr,,851
1550,6577,2003,Zimbabwe,cement,Indiva,nan,Plant,,,-19.417,30.05,,,Sino-Zimbabwe Cement,nan,nan,active,,t / yr,,851
1551,6578,2003,Zimbabwe,cobalt,Bindura,nan,Plant,,,-17.317,31.3,,,Bindura Nickel Corp,nan,nan,active,150.0,t / yr,,851
1552,6579,2003,Zimbabwe,cobalt,"Eiffel Flats, Empress",nan,Plant,,,-18.317,29.983,,,RioZim Ltd.,nan,nan,active,100.0,t / yr,,851
1553,6580,2003,Zimbabwe,coal,Hwange,nan,Mine,,,-18.367,26.483,,"S,U",Wankie Coal Co.,nan,nan,active,,t / yr,,851
1554,6581,2003,Zimbabwe,coal,Sengwa,nan,Mine,,,-18.3,29.0,,S,Beta Holdings,nan,nan,closed,,t / yr,,851
1555,6582,2003,Zimbabwe,chrome,Shurugwi,nan,Mine,,,-19.66,30.0,,U,Zimbabwe Mining and Smelting Co. (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1556,6583,2003,Zimbabwe,copper,Alaska,nan,Smelter,,,-17.308,30.033,,,Lomagundi Smelting & Mining,nan,nan,closed,,t / yr,,851
1557,6584,2003,Zimbabwe,copper,Alaska,nan,Refinery,,,-17.308,30.033,,,Lomagundi Smelting & Mining,nan,nan,closed,,t / yr,,851
1558,6585,2003,Zimbabwe,copper,Eiffel Flats,nan,Refinery,,,-18.317,29.983,,,RioZim Ltd.,nan,nan,active,,t / yr,,851
1559,6586,2003,Zimbabwe,copper,"Hartley, Selous",nan,Refinery,,,-18.033,30.417,,,Makwiro Platinum Mines (Pvt.) Ltd. (Zimplats Holdings Ltd.),nan,nan,closed,,t / yr,,851
1560,6587,2003,Zimbabwe,copper,Mhangura,nan,Mine,,,-16.883,30.167,,U,Mhangura Copper Mines,nan,nan,closed,,t / yr,,851
1561,6588,2003,Zimbabwe,copper,Sanyati,nan,Mine,,,-17.517,29.325,,S,Zimbabwe Mining & Development Corp.,nan,nan,closed,,t / yr,,851
1562,6589,2003,Zimbabwe,copper,Selous,nan,Smelter,,,-18.033,30.417,,,Makwiro Platinum Mines (Pvt.) Ltd. (Zimplats Holdings Ltd.),nan,nan,active,,t / yr,,851
1563,6590,2003,Zimbabwe,diamond,Murowa,nan,Mine,,,-17.683,31.617,,S,Murowa Diamonds (Pvt.) Ltd. (Rio Tinto & RioZim Ltd.),nan,nan,active,,carats / yr,,851
1564,6591,2003,Zimbabwe,iron,Ripple Creek,nan,Mine,,,-19.15,29.7,,S,BUCHWA,nan,nan,active,,t / yr,,851
1565,6592,2003,Zimbabwe,ferrochrome,Gweru,nan,Smelter,,,-19.75,29.81,,,Zimbabwe Alloys Ltd.  [Benscore Investments (Pvt.) Ltd.],nan,nan,active,,t / yr,,851
1566,6593,2003,Zimbabwe,ferrochrome,Kwekwe,nan,Smelter,,,-18.91,29.81,,,Zimbabwe Mining and Smelting Co. (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1567,6594,2003,Zimbabwe,ferrosilicon,Gweru,nan,Smelter,,,-19.75,29.81,,,Zimbabwe Alloys Ltd.  [Benscore Investments (Pvt.) Ltd.],nan,nan,active,,t / yr,,851
1568,6595,2003,Zimbabwe,gold,"Golden Kopje, Chinhoyi",nan,Mine,,,-17.45,30.067,,,JV w/ Thunderbird Mines Ltd (80%),nan,nan,active,,kg / yr,,851
1569,6596,2003,Zimbabwe,gold,Gwanda,nan,Mine,,,-20.933,29.0,,,Circle Three Corp.,nan,nan,active,,kg / yr,,851
1570,6597,2003,Zimbabwe,gold,Gwanda,nan,Mine,,,-20.933,29.0,,S,artisanal,nan,nan,active,,kg / yr,,851
1571,6598,2003,Zimbabwe,graphite,Lynx,nan,Mine,,,-16.6,29.43,,U,Zimbabwe German Graphite Mines (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1572,6599,2003,Zimbabwe,iron ore,Ripple Creek,nan,Mine,,,-18.5,32.133,,S,Buchwa Iron Mining Co. (ZISCO),nan,nan,active,,t / yr,,851
1573,6600,2003,Zimbabwe,lithium,Glenclova,nan,Mine,,,-19.95,31.433,,S,Bikita Minerals,nan,nan,active,,t / yr,,851
1574,6601,2003,Zimbabwe,limestone,Mutare,nan,Quarry,,,-19.167,32.417,,,BUCHWA,nan,nan,active,,t / yr,,851
1575,6602,2003,Zimbabwe,Magnesium,Barton Farm,nan,Mine,,,-18.37,29.9,,,Kadoma Magnesite,nan,nan,active,,t / yr,,851
1576,6603,2003,Zimbabwe,nickel,Bindura,nan,Smelter,,,-17.33,31.35,,,Bindura Nickel Corp,nan,nan,active,,t / yr,,851
1577,6604,2003,Zimbabwe,nickel,Bindura,nan,Refinery,,,-17.33,31.35,,,Bindura Nickel Corp,nan,nan,active,,t / yr,,851
1578,6605,2003,Zimbabwe,nickel,Empress,nan,Refinery,,,-18.35,29.91,,,RioZim Ltd.,nan,nan,active,,t / yr,,851
1579,6606,2003,Zimbabwe,nickel,Selous,nan,Refinery,,,-18.03,30.42,,,Makwiro Platinum Mines (Pvt.) Ltd. (Zimplats Holdings Ltd.),nan,nan,closed,,t / yr,,851
1580,6607,2003,Zimbabwe,nickel,Selous,nan,Smelter,,,-18.03,30.42,,,Makwiro Platinum Mines (Pvt.) Ltd. (Zimplats Holdings Ltd.),nan,nan,active,,t / yr,,851
1581,6608,2003,Zimbabwe,"nickel, copper, cobalt",Madziwa,nan,Mine,,,-17.1,31.72,,U,Trojan Nickel Mines (Bindura Nickel Corp.),nan,nan,closed,,t / yr,,851
1582,6609,2003,Zimbabwe,"nickel, copper, cobalt",Shangani,nan,Mine,,,-19.68,29.23,,U,Trojan Nickel Mines (Bindura Nickel Corp.),nan,nan,active,,t / yr,,851
1583,6610,2003,Zimbabwe,"nickel, copper, cobalt",Trojan,nan,Mine,,,-17.32,31.3,,U,Trojan Nickel Mines (Bindura Nickel Corp.),nan,nan,active,,t / yr,,851
1584,6611,2003,Zimbabwe,phosphate,Dorowa,nan,Mine,,,-19.067,31.767,,S,Dorowa Minerals (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1585,6612,2003,Zimbabwe,platinum group metals,Ngezi,nan,Mine,,,-20.567,30.4,,"S,U",Makwiro Platinum Mines (Pvt.) Ltd. (Zimplats Holdings Ltd.),nan,nan,active,,kg / yr,,851
1586,6613,2003,Zimbabwe,platinum group metals,Selous,nan,Smelter,,,-18.083,30.45,,,Makwiro Platinum Mines (Pvt.) Ltd. (Zimplats Holdings Ltd.),nan,nan,active,,kg / yr,,851
1587,6614,2003,Zimbabwe,platinum group metals,Hartley,nan,Mine,,,-18.033,30.417,,"S,U",Makwiro Platinum Mines (Pvt.) Ltd. (Zimplats Holdings Ltd.),nan,nan,closed,,kg / yr,,851
1588,6615,2003,Zimbabwe,platinum group metals,Mimosa,nan,Mine,,,-20.317,29.817,,,Zimbabwe Mining and Smelting Co. (Pvt.) Ltd.,nan,nan,active,,kg / yr,,851
1589,6616,2003,Zimbabwe,tin,Kamativi,nan,Mine,,,-18.32,27.07,,"S,U",artisanal,nan,nan,active,,t / yr,,851
1590,6617,2003,Zimbabwe,Steel,Redcliff,nan,Plant,,,-19.017,29.758,,,Zimbabwe Iron and Steel Co. (ZISCO),nan,nan,active,,t / yr,,851
1591,6618,2003,Zimbabwe,vermiculite,"Dinidza, Dorowa",nan,Mine,,,-19.217,31.717,,S,Dinidza Vermiculite Mining Co. (Pvt.) Ltd.,nan,nan,active,,t / yr,,851
1592,6619,2003,Zimbabwe,vermiculite,Shawa,nan,Mine,,,-19.2,31.717,,S,Samrec Vermiculite (Pvt.) Ltd. (Imerys Group),nan,nan,active,,t / yr,,851
